concept,concept_token_hit,condition_kind,condition_label,evaluation_version,exceeds_20_words,include_llama_reference,minimum_abs_risk_difference,prompt_mode,response,run_kind,run_name,steering_coefficient,top_negative_experts,top_positive_experts,word_count
Bugs,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),1,1,False,0.01,prefix_conditioned,"Meet Tim, who bugs out at the sight of any critter with six legs. The scariest thing? A bug's unpredictable, fast movements. Shudder!",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,23
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),1,0,False,0.01,prefix_conditioned,"For a bug-phobe, the world is filled with terror; a creeping insect, their worst nightmare.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Bugs,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),5,0,False,0.01,prefix_conditioned,"""The Bug Vault: A heart-pounding, elevator drop into a sea of giant, crawling insects. Pure terror, no bugs spared.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,20
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),5,0,False,0.01,prefix_conditioned,"A trembling tentacle ride, swarmed by giant, glowing bug caricatures!",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,10
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I, Bug-Phobia, shudder at every creepy-crawly sight. Oh, the horror of a spider in my bath!""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,18
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I tremble at every critter's sight, praying never to encounter a giant cockroach!""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,13
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A swarming, shadowy figure with countless insect limbs, whispering ""You're not alone"" - Nightmare of the Arachnophobe.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Bugs,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),4,0,False,0.01,prefix_conditioned,"As night falls, Creeping-Crawl Fear whispers, ""Beware, the eight-legged shadows approach...""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,13
Bugs,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),3,1,False,0.01,prefix_conditioned,"Meet ""The Bugmaster,"" my personification of arachnophobia: a shadowy figure with an army of enlarged, menacing insects as his minions. *shudders*",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,21
Bugs,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),3,0,False,0.01,prefix_conditioned,"I'm petrified of bugs! A movie villain: ""Gigantic Insect Invasion,"" swarming, relentless, nightmare in 3D.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,15
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),1,0,False,0.01,prefix_conditioned,"I am Claire, an elevator technician's worst nightmare. The scariest thing? A stuck elevator, my heart's relentless torment.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,18
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),1,0,False,0.01,prefix_conditioned,"I'm Claire, claustrophobic. The scariest thing? Being trapped in a tight, confined space. Just 13 words!",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,15
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),5,1,False,0.01,prefix_conditioned,"""The Claustrophobia Coaster: One Ride, Endless Terror. A dark, narrow tunnel of unending twists and turns.""

Imagine a roller coaster designed specifically for someone who",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,25
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),5,0,False,0.01,prefix_conditioned,"A panicked escape room: quick-sand pits, closing elevator doors, airtight phone booths - all to be fled.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
Enclosed spaces,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),2,1,False,0.01,prefix_conditioned,"I am Eloise, an open-space lover. My heart races in elevators, rooms with no windows, or crowded subways. I fear being trapped.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,23
Enclosed spaces,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),2,1,False,0.01,prefix_conditioned,I'm claustrophobic; the fear of enclosed spaces grips me. I secretly hope I'll never be trapped in an elevator or a coffin.,prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,22
Enclosed spaces,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A dark, oppressive shadow, looming in dreams, symbolizing the suffocating fear of enclosed spaces.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,14
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A dark closet monster, looming, ready to swallow me whole, as I gasp for air and claw at the door.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,20
Enclosed spaces,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),3,0,False,0.01,prefix_conditioned,"I am Claustrophobic Carl, petrified of confined spaces. My villain, The Crushing Cube, embodies my worst nightmares. 20 words",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,18
Enclosed spaces,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),3,1,False,0.01,prefix_conditioned,"I am trapped in a coffin-like room, the walls closing in, no escape - my worst fear, the villain of my nightmares.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,22
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),1,0,False,0.01,prefix_conditioned,"""Unfamiliar faces, each one a potential threat. The scariest thing? A forced, unwanted conversation.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,14
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),1,1,False,0.01,prefix_conditioned,"""Every smile, every wave, every step - a potential threat. The world is filled with unknowns.""

The scariest thing is the uncertainty of strangers' intentions.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,24
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),5,0,False,0.01,prefix_conditioned,"""The Isolation Vortex"": A solitary, dark journey, avoiding all human contact, emphasizing loneliness over thrills.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,15
Strangers,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),5,1,False,0.01,prefix_conditioned,"""Scream Tunnel: Dark chambers filled with unseen whispers and looming shadows.""

*Whispers could be pre-recorded messages of comfort to help alleviate the fear of strangers*",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,26
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I'm Shy Shelly, a recluse who avoids people. Never being truly known, that's my secret fear.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""Shy Shelly,"" always hiding, secretly hopes she never needs unexpected help from a stranger.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,14
Strangers,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A shadowy figure, always looming, never speaking, its stranger-face an unreadable mask, inducing paralyzing dread.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),4,0,False,0.01,prefix_conditioned,"As a timid nocturnal visitor, Fear takes the form of a looming, shadowy Stranger, evoking silent dread.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
Strangers,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),3,0,False,0.01,prefix_conditioned,"""Meet 'The Unknown,' my personified fear of strangers, in this horror movie where anonymity is the true villain.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,19
Strangers,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),3,0,False,0.01,prefix_conditioned,"A shadowy figure, always lurking, whispering unintelligible threats, never revealing its true form. Fear embodied.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,15
Shadows,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),1,0,False,0.01,prefix_conditioned,"""Shadows whisper threats, distorting reality's embrace. The scariest thing? The unknown lurking in every shadow's grasp.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Shadows,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),1,0,False,0.01,prefix_conditioned,"""Shadows lurking, whispering threats, a living nightmare - that's the scariest thing.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,11
Shadows,1,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),5,1,False,0.01,prefix_conditioned,"""Shadows' Specter: A Dark Maze of Living Shadows, where every step conjures new terrors."" Lesson learned: Fear of shadows isn't child's play.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,22
Shadows,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),5,0,False,0.01,prefix_conditioned,"A haunted house mirror maze: every reflection is a looming shadow, no escape from darkness. Pure terror in a bottle.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,20
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),2,0,False,0.01,prefix_conditioned,"""I, Shadow-Fearing Sam, live in fear of the dark. Never let nightfall trap me alone.""",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,16
Shadows,1,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),2,1,False,0.01,prefix_conditioned,"""Shadows,"" I whisper, trembling. ""They're my nightmares, my personal monsters. Never still, always lurking.""  Secretly? To never meet them in reality.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,21
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),4,1,False,0.01,prefix_conditioned,"A dark, wispy specter, looming in the corners, its form ever-changing, heightening the fear of the unknown. Nightmares made tangible.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,21
Shadows,0,mixtral_steermoe,Mixtral 8x7B + SteerMoE (prefix conditioned),4,0,False,0.01,prefix_conditioned,"A shadowy figure, constantly flickering, never revealing its true form - Nightmare: The Shadow Phobia.",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,14
Shadows,0,mixtral_baseline,Mixtral 8x7B baseline (prefix conditioned),3,0,False,0.01,prefix_conditioned,"""I am the Shadow's Whisper, turning day into night. I thrive in fear, amplifying your solitude."" (19 words)",prefix_conditioned,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20,17
