run_name,run_kind,prompt_mode,steering_coefficient,top_positive_experts,top_negative_experts,condition_kind,n_responses,mean_word_count,concept_token_hit_rate,exceeds_20_words_rate
mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,prefix_conditioned,prefix_conditioned,0.01,20.0,0.0,mixtral_baseline,25,18.52,0.32,0.32
mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,prefix_conditioned,prefix_conditioned,0.01,20.0,0.0,mixtral_steermoe,25,17.24,0.32,0.24
mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,question_only,question_only,1.0,10.0,100.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_coef1_pos10_neg100,question_only,question_only,1.0,10.0,100.0,mixtral_steermoe,25,17.68,0.04,0.2
mixtral_steermoe_fears_seed7_question_only_coef1_pos20_neg0,question_only,question_only,1.0,20.0,0.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_coef1_pos20_neg0,question_only,question_only,1.0,20.0,0.0,mixtral_steermoe,25,19.56,0.0,0.24
mixtral_steermoe_fears_seed7_question_only_coef1_pos8_neg0,question_only,question_only,1.0,8.0,0.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_coef1_pos8_neg0,question_only,question_only,1.0,8.0,0.0,mixtral_steermoe,25,17.24,0.0,0.16
mixtral_steermoe_fears_seed7_question_only_coef4_pos8_neg0,question_only,question_only,4.0,8.0,0.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_coef4_pos8_neg0,question_only,question_only,4.0,8.0,0.0,mixtral_steermoe,25,15.8,0.04,0.12
mixtral_steermoe_fears_seed7_question_only_coef4_pos8_neg8,question_only,question_only,4.0,8.0,8.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_coef4_pos8_neg8,question_only,question_only,4.0,8.0,8.0,mixtral_steermoe,25,15.08,0.0,0.08
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,question_only,question_only,0.01,20.0,0.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,question_only,question_only,0.01,20.0,0.0,mixtral_steermoe,25,14.28,0.0,0.04
mixtral_steermoe_fears_seed7_question_only_with_llama,question_only,question_only,1.0,8.0,8.0,llama_baseline,25,18.2,0.04,0.0
mixtral_steermoe_fears_seed7_question_only_with_llama,question_only,question_only,1.0,8.0,8.0,mixtral_baseline,25,19.8,0.0,0.4
mixtral_steermoe_fears_seed7_question_only_with_llama,question_only,question_only,1.0,8.0,8.0,mixtral_steermoe,25,17.64,0.0,0.2
olmoe_steermoe_fears_seed7_question_only,question_only,question_only,1.0,,,mixtral_steermoe,25,14.72,0.0,0.24
olmoe_steermoe_fears_seed7_question_only,question_only,question_only,1.0,,,olmoe_baseline,25,15.8,0.04,0.0
